primary_sta,secondary_sta,orbitNumber_primary,orbitDirection_primary,ascendingNodeDate_primary,startTimeFromAscendingNode_primary,completionTimeFromAscendingNode_primary,dataTakeID_primary,primaryImageSelectionInformation_secondary,normalBaseline_secondary,averageRangeCoregistrationShift_secondary,averageAzimuthCoregistrationShift_secondary,orbitNumber_secondary,orbitDirection_secondary,ascendingNodeDate_secondary,startTimeFromAscendingNode_secondary,completionTimeFromAscendingNode_secondary,dataTakeID_secondary,centerLat_secondary,centerLon_secondary,mean(|coh|),min(|coh|),max(|coh|),median(|coh|),frame,phaseCorrectionMode,date_primary,date_secondary
BIO_S1_STA__1S_20250611T231802_20250611T231822_C_G___M___C___T____F152_01_DGMY4D,BIO_S1_STA__1S_20250605T231802_20250605T231822_C_G___M___C___T____F152_01_DGMY4M,640,DESCENDING,2025-06-11T22:30:17.636Z,2864966,2885263,5245733,Geometry,12.585803612062392,51.677714295663904,199.4066964455886,552,DESCENDING,2025-06-11T22:30:17.636Z,2864966,2885263,4524837,3.47336,-76.435033,0.7722506288893773,0.00030148632782526515,0.9999999999999999,0.813691184519488,152,None,20250611T231802,20250605T231802
BIO_S1_STA__1S_20250611T231802_20250611T231822_C_G___M___C___T____F152_01_DGMY4D,BIO_S1_STA__1S_20250608T231803_20250608T231823_C_G___M___C___T____F152_01_DGMY3L,640,DESCENDING,2025-06-11T22:30:17.636Z,2864966,2885263,5245733,Geometry,-141.03698558437398,85.7243764142916,-247.48397054620725,596,DESCENDING,2025-06-11T22:30:17.636Z,2864966,2885263,4885285,3.47336,-76.435033,0.7568923351578919,0.0002497468617672509,0.9999999999999999,0.8086885021970167,152,None,20250611T231802,20250608T231803
BIO_S1_STA__1S_20250611T231802_20250611T231822_C_G___M___C___T____F152_01_DGMY4D,BIO_S1_STA__1S_20250614T231802_20250614T231822_C_G___M___C___T____F152_01_DGMY44,640,DESCENDING,2025-06-11T22:30:17.636Z,2864966,2885263,5245733,Geometry,136.64904952071396,-97.19270710470127,-410.12543840093576,684,DESCENDING,2025-06-11T22:30:17.636Z,2864966,2885263,5606181,3.47336,-76.435033,0.7291012642699779,0.00028646446147256047,0.9999999999999999,0.7778504413442161,152,None,20250611T231802,20250614T231802
BIO_S1_STA__1S_20250611T231802_20250611T231822_C_G___M___C___T____F152_01_DGMY4D,BIO_S1_STA__1S_20250617T231801_20250617T231821_C_G___M___C___T____F152_01_DGMY4X,640,DESCENDING,2025-06-11T22:30:17.636Z,2864966,2885263,5245733,Geometry,514.12892092398,-104.23471474059956,-17.74381268882134,728,DESCENDING,2025-06-11T22:30:17.636Z,2864966,2885263,5966629,3.47336,-76.435033,0.6243053717964272,0.00016618048021130712,0.9999999999999999,0.6685318029849252,152,None,20250611T231802,20250617T231801
BIO_S1_STA__1S_20250611T231802_20250611T231822_C_G___M___C___T____F152_01_DGMY4D,BIO_S1_STA__1S_20250620T231803_20250620T231824_C_G___M___C___T____F152_01_DGLI0Z,640,DESCENDING,2025-06-11T22:30:17.636Z,2864966,2885263,5245733,Geometry,-493.8608783632055,266.5048673917338,315.0427275163296,772,DESCENDING,2025-06-11T22:30:17.636Z,2864966,2885263,6327077,3.47336,-76.435033,0.5480030315603466,0.00018883536280755314,0.9999999999999999,0.5675449681367049,152,None,20250611T231802,20250620T231803
BIO_S1_STA__1S_20250606T032424_20250606T032433_C_G___M___C___T____F309_01_DGWRI7,BIO_S1_STA__1S_20250609T032425_20250609T032434_C_G___M___C___T____F309_01_DGWRID,554,ASCENDING,2025-06-06T01:46:39.705Z,5865169,5874091,4544221,Geometry,100.86309542915683,-61.721961453830325,135.1350040844043,598,ASCENDING,2025-06-06T01:46:39.705Z,5865169,5874091,4904669,-1.854672,36.518489,0.9362187904571027,0.0008230852994886291,0.9999999999999999,0.9565238897065693,309,None,20250606T032424,20250609T032425
BIO_S1_STA__1S_20250606T033032_20250606T033053_C_G___M___C___T____F019_01_DGWRNJ,BIO_S1_STA__1S_20250609T033033_20250609T033053_C_G___M___C___T____F019_01_DGWRO2,555,ASCENDING,2025-06-06T03:24:50.695Z,342117,362879,4546803,Geometry,55.646716196982986,-47.20693668084299,-167.2759097857294,599,ASCENDING,2025-06-06T03:24:50.695Z,342117,362879,4907251,20.867726,31.421174,0.6931765460203314,0.0003326373791619249,0.9999999999999999,0.740967793822188,19,None,20250606T033032,20250609T033033
BIO_S1_STA__1S_20250606T033051_20250606T033112_C_G___M___C___T____F020_01_DGX3BW,BIO_S1_STA__1S_20250618T033050_20250618T033111_C_G___M___C___T____F020_01_DGX3C7,555,ASCENDING,2025-06-06T03:24:50.695Z,360671,381433,4546803,Geometry,-374.1155871024177,198.37221073124013,166.15882645805624,731,ASCENDING,2025-06-06T03:24:50.695Z,360671,381433,5988595,21.992358,31.139392,0.5268238281827631,8.747444677398132e-05,0.9999999999999999,0.5238241084182268,20,None,20250606T033051,20250618T033050
BIO_S1_STA__1S_20250606T033051_20250606T033112_C_G___M___C___T____F020_01_DGX3BW,BIO_S1_STA__1S_20250621T033052_20250621T033113_C_G___M___C___T____F020_01_DGX3BN,555,ASCENDING,2025-06-06T03:24:50.695Z,360671,381433,4546803,Geometry,493.27925968323103,-182.7878507255781,-0.23901711589954475,775,ASCENDING,2025-06-06T03:24:50.695Z,360671,381433,6349043,21.992358,31.139392,0.47822313223407054,8.673799901580269e-05,0.9999999999999999,0.4581777306368607,20,None,20250606T033051,20250621T033052
BIO_S1_STA__1S_20250606T033207_20250606T033228_C_G___M___C___T____F024_01_DGX9GX,BIO_S1_STA__1S_20250621T033208_20250621T033229_C_G___M___C___T____F024_01_DGX9GD,555,ASCENDING,2025-06-06T03:24:50.695Z,436636,457393,4546803,Geometry,476.36381307258927,-166.25536422582428,-306.8031679800307,775,ASCENDING,2025-06-06T03:24:50.695Z,436636,457393,6349043,26.590457,29.93535,0.4603941556308807,9.568621865027141e-05,0.9999999999999999,0.4563261907140961,24,None,20250606T033207,20250621T033208
